season,matchday,team,Pts,Sum,GD
2019-2020,38,Real Madrid,86.0,5.0,45.0
2019-2020,38,Barcelona,79.0,2.0,43.0
2019-2020,38,Sevilla FC,67.0,4.0,19.0
2019-2020,38,Atlético Madrid,69.0,3.0,24.0
2019-2020,38,Villarreal,57.0,-1.0,10.0
2019-2020,38,Granada CF,53.0,2.0,3.0
2019-2020,38,Real Sociedad,55.0,1.0,8.0
2019-2020,38,Getafe,54.0,-3.0,7.0
2019-2020,38,Valencia,53.0,0.0,-6.0
2019-2020,38,CA Osasuna,51.0,2.0,-8.0
2019-2020,38,Athletic,51.0,-1.0,7.0
2019-2020,38,Levante,46.0,-1.0,-7.0
2019-2020,38,Real Valladolid,39.0,-2.0,-13.0
2019-2020,38,SD Eibar,42.0,0.0,-13.0
2019-2020,38,Real Betis,41.0,-2.0,-10.0
2019-2020,38,Alavés,39.0,-2.0,-20.0
2019-2020,38,Celta de Vigo,36.0,-3.0,-12.0
2019-2020,38,CD Leganés,35.0,2.0,-21.0
2019-2020,38,RCD Mallorca,32.0,-1.0,-25.0
2019-2020,38,Espanyol,24.0,-5.0,-31.0
2019-2020,37,Real Madrid,83.0,5.0,44.0
2019-2020,37,Barcelona,79.0,3.0,44.0
2019-2020,37,Atlético Madrid,66.0,3.0,22.0
2019-2020,37,Sevilla FC,66.0,4.0,19.0
2019-2020,37,Villarreal,57.0,1.0,11.0
2019-2020,37,Real Sociedad,54.0,0.0,8.0
2019-2020,37,Getafe,54.0,-1.0,9.0
2019-2020,37,Valencia,50.0,-2.0,-7.0
2019-2020,37,Granada CF,50.0,0.0,2.0
2019-2020,37,Athletic,51.0,1.0,9.0
2019-2020,37,CA Osasuna,48.0,2.0,-9.0
2019-2020,37,Levante,43.0,-1.0,-8.0
2019-2020,37,SD Eibar,39.0,0.0,-15.0
2019-2020,37,Real Betis,41.0,-2.0,-9.0
2019-2020,37,Real Valladolid,39.0,-1.0,-11.0
2019-2020,37,Alavés,36.0,-4.0,-21.0
2019-2020,37,Celta de Vigo,36.0,-2.0,-11.0
2019-2020,37,CD Leganés,32.0,0.0,-23.0
2019-2020,37,RCD Mallorca,32.0,-1.0,-24.0
2019-2020,37,Espanyol,24.0,-5.0,-30.0
2019-2020,36,Real Madrid,80.0,5.0,43.0
2019-2020,36,Barcelona,76.0,3.0,43.0
2019-2020,36,Atlético Madrid,63.0,3.0,21.0
2019-2020,36,Sevilla FC,63.0,3.0,17.0
2019-2020,36,Villarreal,57.0,2.0,12.0
2019-2020,36,Getafe,53.0,-1.0,9.0
2019-2020,36,Real Sociedad,51.0,-2.0,7.0
2019-2020,36,Athletic,48.0,-1.0,8.0
2019-2020,36,Granada CF,50.0,1.0,3.0
2019-2020,36,Valencia,50.0,-2.0,-6.0
2019-2020,36,CA Osasuna,45.0,2.0,-10.0
2019-2020,36,Levante,43.0,-1.0,-7.0
